SCHOOL LEVEL DATA ON OFFICIAL ENROLLMENT IN ALL GRADE LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY 2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region I,Ilocos Norte,Bacarra I,100001,Apaleng-Libtong ES,"Brgy. 21, Libtong, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,LIBTONG,Public,DepED Managed,School with no Annexes,Purely ES,4,5,3,2,5,7,5,1,2,2,2,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100002,Bacarra CES,Santa Rita,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,26,25,33,25,18,29,23,32,30,23,34,35,27,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100003,Buyon ES,NONE,ILOCOS NORTE,BACARRA,1st District,BUYON,Public,DepED Managed,School with no Annexes,Purely ES,8,10,11,10,11,4,13,4,8,7,12,14,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100004,Ganagan Elementary School,"#37 Ganagan,Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,GANAGAN,Public,DepED Managed,School with no Annexes,Purely ES,9,8,5,4,6,5,6,8,7,5,1,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100005,Macupit ES,Macupit,ILOCOS NORTE,BACARRA,1st District,MACUPIT,Public,DepED Managed,School with no Annexes,Purely ES,5,3,5,2,3,2,6,4,4,2,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100006,Nambaran ES,Brgy. 19 Nambaran,ILOCOS NORTE,BACARRA,1st District,NAMBARAN,Public,DepED Managed,School with no Annexes,Purely ES,4,7,6,11,7,6,8,5,3,5,10,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100007,Pasiocan ES,"Brgy 39, Bacarra, I.N.",ILOCOS NORTE,BACARRA,1st District,PASIOCAN,Public,DepED Managed,School with no Annexes,Purely ES,7,7,3,10,11,8,15,10,5,6,13,14,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100008,Pulangi ES,"-Brgy. 20, Pulangi",ILOCOS NORTE,BACARRA,1st District,PULANGI,Public,DepED Managed,School with no Annexes,Purely ES,13,5,18,15,13,14,13,10,13,15,24,19,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100009,Sabas-Sagisi Memorial Elem. School,"Brgy. 38 Sangil, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANGIL,Public,DepED Managed,School with no Annexes,Purely ES,7,4,11,9,2,2,14,14,6,9,18,19,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100010,SPECIAL EDUCATION CENTER,RIZAL ST.,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,11,7,11,12,11,10,10,10,4,7,18,13,6,10,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100011,Santo Cristo Elementary School,L. Acierto,ILOCOS NORTE,BACARRA,1st District,SANTO CRISTO I (POB.),Public,DepED Managed,School with no Annexes,Purely ES,13,10,11,17,15,12,13,13,6,8,17,18,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100012,Tambidao Elementary School,"Brgy. 19-A, Tambidao, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,TAMBIDAO,Public,DepED Managed,School with no Annexes,Purely ES,6,7,4,4,10,5,6,8,4,7,6,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,300002,Bacarra NCHS,"Torcuato Ver Street, Brgy. 1 Sta. Rita, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,168,238,197,226,229,261,279,8,5,23,75,98,104,27,48,0,0,0,0,153,44,0,0,0,0,31,63,81,98,27,52,0,0,0,0,165,51,0,0,0,0
Region I,Ilocos Norte,Bacarra I,300007,Cadaratan National High School,"#30, Cadaratan, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,CADARATAN,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,45,33,51,55,47,53,67,0,0,0,0,17,20,0,0,31,14,0,0,0,0,0,0,0,0,0,0,21,15,0,0,25,22,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,400001,"St. Andrew Academy of Bacarra, Inc.","Brgy. 1, Sta. Rita, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,3,5,5,6,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,410001,"The Riverdeep Academy, Inc.","National Highway, Cabusligan, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,CABUSLIGAN,Private,Non-Sectarian ,School with no Annexes,Purely ES,24,19,15,18,14,18,21,15,15,10,18,20,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,410019,St. Andrew Grade School,"Brgy. 1, Sta. Rita, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Private,Sectarian ,School with no Annexes,Purely ES,4,7,3,5,3,2,5,2,5,6,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100013,Bangsirit ES,"28 Bangsirit,",ILOCOS NORTE,BACARRA,1st District,CABUSLIGAN,Public,DepED Managed,School with no Annexes,Purely ES,9,10,8,11,3,7,14,8,11,7,15,16,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100014,Cabaruan ES,"Brgy. 34 Cabaruan Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,CABARUAN,Public,DepED Managed,School with no Annexes,Purely ES,4,10,10,6,10,9,12,12,10,13,22,15,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100015,Cabulalaan ES,Provincial Road,ILOCOS NORTE,BACARRA,1st District,CABULALAAN,Public,DepED Managed,School with no Annexes,Purely ES,16,12,23,14,19,11,24,10,19,11,21,18,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100016,Cadaratan ES,"National Highway, Brgy 30 Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,CADARATAN,Public,DepED Managed,School with no Annexes,Purely ES,10,7,13,10,10,13,21,14,18,13,18,18,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100017,Calioet ES,none,ILOCOS NORTE,BACARRA,1st District,CALIOET-LIBONG,Public,DepED Managed,School with no Annexes,Purely ES,7,3,3,3,5,6,5,3,2,2,10,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100018,Casilian ES,37-A,ILOCOS NORTE,BACARRA,1st District,CASILIAN,Public,DepED Managed,Mother school,Purely ES,5,6,4,5,3,3,6,2,1,6,6,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100019,Paninaan Elementary School,"Brgy. 23, Paninaan, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,PANINAAN,Public,DepED Managed,School with no Annexes,Purely ES,1,2,1,5,3,4,6,3,4,4,8,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100020,Parang E/S,-,ILOCOS NORTE,BACARRA,1st District,DURIPES,Public,DepED Managed,School with no Annexes,Purely ES,13,15,14,8,9,12,14,12,9,8,21,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100021,Pungto ES,"Brgy. 27-A Pungto, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,PUNGTO,Public,DepED Managed,School with no Annexes,Purely ES,4,5,4,3,3,6,8,9,2,2,5,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100022,San Agustin ES,"Brgy. 9 San Agustin II, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SAN AGUSTIN II (POB.),Public,DepED Managed,School with no Annexes,Purely ES,10,16,12,17,13,7,8,19,10,8,13,17,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,100023,Tubburan ES,n/a,ILOCOS NORTE,BACARRA,1st District,TUBBURAN,Public,DepED Managed,School with no Annexes,Purely ES,7,9,12,11,7,3,9,12,14,9,15,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra II,150023,Casilian Primary School - Taguipuro Annex,"#37-A Casilian, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,CASILIAN,Public,DepED Managed,Annex or Extension school(s),Purely ES,3,1,5,1,8,4,8,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100024,Ar-Arusip ES,Ar-Arusip,ILOCOS NORTE,BADOC,2nd District,AR-ARUSIP,Public,DepED Managed,School with no Annexes,Purely ES,12,9,11,16,14,10,11,17,12,10,16,12,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100025,Badoc North Central School,Lacuben,ILOCOS NORTE,BADOC,2nd District,LACUBEN,Public,DepED Managed,School with no Annexes,Purely ES,10,12,15,8,14,12,26,13,9,4,19,16,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100026,Badoc South Central School SPED Center,"Brgy. 2 Garreta (Pob), Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,23,31,40,24,30,34,37,38,28,24,39,46,32,52,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100027,Camanga ES,Camanga,ILOCOS NORTE,BADOC,2nd District,CAMANGA,Public,DepED Managed,School with no Annexes,Purely ES,7,7,9,2,10,7,8,10,4,4,14,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
